,date,tweet,vader_neg,vader_neu,vader_pos,vader_compound,tweet_clean
13,15/12/2020,This should be the main headline and the one thing we need to rectify in the coming months. Don't let anyone from @pakatanharapan_ gaslight you. Because they bloody will.  #ParlimenMalaysia #Belanjawan2021 #2021Budget,0.086,0.914,0,-0.4404,main headline one thing need rectify coming months dont let anyone pakatanharapan gaslight bloody parlimenmalaysia belanjawan2021 2021budget
14,15/12/2020,#DewanRakyat passess #Belanjawan2021.   111-108   Okay..... That's all folks! ❤,0,1,0,0,dewanrakyat passess belanjawan2021 111108 okay thats folks ❤
15,15/12/2020,"And with that, Belanjawan 2021 is passed. @pakatanharapan_, happy, are we?!  #ParlimenMalaysia #Belanjawan2021 #2021Budget",0,0.765,0.235,0.6114,belanjawan 2021 passed pakatanharapan happy parlimenmalaysia belanjawan2021 2021budget
16,15/12/2020,Belanjawan 2021 passed with 111 MPs voting yes and 108 voting no.  PN government still has the slim majority. But for how long?,0.085,0.811,0.104,0.128,belanjawan 2021 passed 111 mps voting yes 108 voting pn government still slim majority long
17,15/12/2020,"The vote is in.  Yays - 111 Nays - 108  The Queen's Gambit floundered again spectacularly. Congratulations, @pakatanharapan_! No one understood your gambit but I hope it was worth it.  #ParlimenMalaysia #Belanjawan2021 #2021Budget",0.044,0.712,0.245,0.8096,vote yays 111 nays 108 queens gambit floundered spectacularly congratulations pakatanharapan one understood gambit hope worth parlimenmalaysia belanjawan2021 2021budget
18,15/12/2020,"Yep, into GE15 we go.  #belanjawan2021",0,0.694,0.306,0.296,yep ge15 go belanjawan2021
19,15/12/2020,Another vote for 3rd reading of #Belanjawan2021 now.  Last chance saloon for PH,0,0.857,0.143,0.25,another vote 3rd reading belanjawan2021 last chance saloon ph
20,15/12/2020,Another division vote! Now for the Third Reading proper. Bell is rung for 2 mins. #ParlimenMalaysia #Belanjawan2021,0,1,0,0,another division vote third reading proper bell rung 2 mins parlimenmalaysia belanjawan2021
21,15/12/2020,Looks like a full house in Parliament ahead of the division vote on the third reading of #Belanjawan2021. #ParlimenMalaysia,0,0.872,0.128,0.3612,looks like full house parliament ahead division vote third reading belanjawan2021 parlimenmalaysia
22,15/12/2020,"After #Belanjawan2021 passes the third reading, I’ll go get meself a slice of cake. Who’s coming with?  In the event of a surprise rejection, I’m going for happy hour instead. Who’s coming with?",0.093,0.743,0.164,0.3939,belanjawan2021 passes third reading ill go get meself slice cake whos coming event surprise rejection im going happy hour instead whos coming
23,15/12/2020,Voting time. Lets see who actually has the formidable numbers #Belanjawan2021,0,1,0,0,voting time lets see actually formidable numbers belanjawan2021
24,15/12/2020,@UrghThisKhairul Malaysia is too small to has rocket launch site that's why aero in Malaysia is mundur n one of the reason why Razaksat cost too high due to the launch site is at Omelek instead of here. Hopefully with the belanjawan2021 investment in aerospace can help to improve this industry.,0,0.85,0.15,0.8074,urghthiskhairul malaysia small rocket launch site thats aero malaysia mundur n one reason razaksat cost high due launch site omelek instead hopefully belanjawan2021 investment aerospace help improve industry
25,15/12/2020,What time is the vote on the third reading of #Belanjawan2021 today?,0,1,0,0,time vote third reading belanjawan2021 today
26,14/12/2020,"Tomorrow is the 'IN or OUT' #Belanjawan2021 verdict final episode.  Oh, I'm so getting my wine &amp; popcorn ready.   And this is from the Opposition:   https://t.co/iaBVtiYrnZ",0,0.854,0.146,0.4767,tomorrow belanjawan2021 verdict final episode oh im getting wine popcorn ready opposition
27,14/12/2020,For further information about “Belanjawan 2021” please click on link below ⬇️   @RinaMohdHarun  @jpmgov_  @MalaysiaPMO   #KPWKMPrihatin   https://t.co/ZefBwYC08U,0,0.874,0.126,0.3182,information belanjawan 2021 please click link ⬇️ rinamohdharun jpmgov malaysiapmo kpwkmprihatin
28,10/12/2020,"@PanglimaSaham tengok Wolf of wallstreet, major in economics, tengok the Big short, grad, join kelas TTT, bukak acc cds, trade before belanjawan 2021, profit margin around 20% last month. Read a lot (books, charts and reports), banyak bertanya, mental kena kuat. glad to call this as my passion.",0,0.795,0.205,0.8779,panglimasaham tengok wolf wallstreet major economics tengok big short grad join kelas ttt bukak acc cds trade belanjawan 2021 profit margin around 20 last month read lot books charts reports banyak bertanya mental kena kuat glad call passion
29,9/12/2020,"Catch our CEO, @iSurinaShukri on @BernamaTV's The Nation as she discusses #Belanjawan2021. Catch it live now at  https://t.co/IIPqcgK248 #LetsBuildTogether",0,1,0,0,catch ceo isurinashukri bernamatvs nation discusses belanjawan2021 catch live letsbuildtogether
30,7/12/2020,"YB Hannah Yeoh (@hannahyeoh) highlights key points in #Sembang111  1. How mothers, who give birth overseas, are prevented from passing on their Malaysian citizenship to their children  2. Childcare 3. How taxpayer’s money should be used  #Budget2021 #Belanjawan2021 #111Initiative  https://t.co/G4YxfB8l18",0,0.973,0.027,0.0258,yb hannah yeoh hannahyeoh highlights key points sembang111 1 mothers give birth overseas prevented passing malaysian citizenship children 2 childcare 3 taxpayers money used budget2021 belanjawan2021 111initiative
31,5/12/2020,"If #DSAI #AnwarIbrahim had the majorette that he claimed he had, it would have already been proven in the #Budget2021 #Belanjawan2021 votes. He lost every single time. #PakatanHarapan is doomed if they kept him as the front-runner.",0.157,0.843,0,-0.7579,dsai anwaribrahim majorette claimed would already proven budget2021 belanjawan2021 votes lost every single time pakatanharapan doomed kept frontrunner
32,4/12/2020,@yoongkhean @PikSuki So do u think Johore govt hasn't done that? Have u gone through Belanjawan Johor 2021?,0,1,0,0,yoongkhean piksuki u think johore govt hasnt done u gone belanjawan johor 2021
34,4/12/2020,"Where r the Oppositn numbers wch Lim Guan Eng &amp; DSAI touted so proudly wouldnt support d pass'g of #Belanjawan2021. But come 26 Nov 2020 - vot'g day at the policy stage, only 13 stood up on the need for bloc vote, 2 short of the required min 15 MPs.  https://t.co/AEMGtwJ8zD",0.071,0.841,0.088,0.4394,r oppositn numbers wch lim guan eng dsai touted proudly wouldnt support passg belanjawan2021 come 26 nov 2020 votg day policy stage 13 stood need bloc vote 2 short required min 15 mps
35,3/12/2020,What @anwaribrahim wishes he can do on December 15th in Parliament for the final #Belanjawan2021 vote  https://t.co/XvvB7L0cYy,0,0.909,0.091,0.1531,anwaribrahim wishes december 15th parliament final belanjawan2021 vote
36,3/12/2020,@PaidInFullPod the low budget version!💯🤣 #JerseyCity #aceboogie #FTagainstbullying #Belanjawan2021 #Belgium #Iraq #instacomedy #standupcomedy #localtalent #Brooklyn99 #tristats  https://t.co/FBG4hXVtnY,0.13,0.87,0,-0.3382,paidinfullpod low budget version💯🤣 jerseycity aceboogie ftagainstbullying belanjawan2021 belgium iraq instacomedy standupcomedy localtalent brooklyn99 tristats
37,3/12/2020,"Dear MPs, we trust you, that's why we check on you. #Budget2021 #Belanjawan2021",0,0.651,0.349,0.7096,dear mps trust thats check budget2021 belanjawan2021
38,2/12/2020,"@dyanasmd @ShibliVision @kuasasiswa The most importantly is PN Gov not even reach the simple majority, opposition is normal to have 95 seats  Budget vs Reclaim mandate is different entities  We need DSAI to reform this country, the investors waiting it to happen   #Belanjawan2021  #muhyiddinout",0.024,0.92,0.057,0.3651,dyanasmd shiblivision kuasasiswa importantly pn gov even reach simple majority opposition normal 95 seats budget vs reclaim mandate different entities need dsai reform country investors waiting happen belanjawan2021 muhyiddinout
39,2/12/2020,"Should be seen from needs of a family unit rather then individual therefore, 30% mark is unnecessary. @KWSPMalaysia #iSinar #Belanjawan2021  https://t.co/Ixuo3Xww75",0,1,0,0,seen needs family unit rather individual therefore 30 mark unnecessary kwspmalaysia isinar belanjawan2021
40,2/12/2020,"PN using KWSP i-sinar as a catalyst for everyone to accept Belanjawan 2021 is a win for them. In fact, it should NOT be a part of Belanjawan.",0,0.782,0.218,0.7506,pn using kwsp isinar catalyst everyone accept belanjawan 2021 win fact part belanjawan
42,2/12/2020,".@dririshsea on PakatanHarapan budget vote:   ""the coalition has numbingly focused its energies on 'numbers’ yielding nothing. It is not clear what Harapan stands for. One cannot reform, or even move forward, without a clear programme."" #Belanjawan2021   https://t.co/7C7nwYurCB",0.158,0.735,0.107,-0.2887,dririshsea pakatanharapan budget vote coalition numbingly focused energies numbers yielding nothing clear harapan stands one cannot reform even move forward without clear programme belanjawan2021
43,2/12/2020,"Devil is in the details, why does @MITIMalaysia's budget breakdown for #Belanjawan2021 include RM22M for APEC when it just concluded? @AzminAli are we hosting APEC again in 2021?  https://t.co/i82UuqwOtA",0.145,0.855,0,-0.6966,devil details mitimalaysias budget breakdown belanjawan2021 include rm22m apec concluded azminali hosting apec 2021
44,1/12/2020,You're efficacy beats all...  Keep winning girl! Britam insurance: 0725733553- Keziah #ChukuaSelfie #BBIReport #AIDSday #AnywhereToFindYou #AllHailQueenDorathy #28novembre President Uhuru Kenyatta Diamond Joe Biden #BBINonsense #1ธันวาบอกลาเครื่องแบบ #Belanjawan2021 #AskPheelz  https://t.co/qCn97tkyvQ,0,0.81,0.19,0.7263,youre efficacy beats keep winning girl britam insurance 0725733553 keziah chukuaselfie bbireport aidsday anywheretofindyou allhailqueendorathy 28novembre president uhuru kenyatta diamond joe biden bbinonsense 1ธันวาบอกลาเครื่องแบบ belanjawan2021 askpheelz
45,1/12/2020,The fallout continues from opposition's #Belanjawan2021 fumble. @p_warisansabah says it's looking for new leadership after @dapmalaysia &amp; @PartiAmanah voice frustration with vote strategy &amp; execution. #Malaysia  https://t.co/eEmlI2h92a,0.107,0.893,0,-0.4767,fallout continues oppositions belanjawan2021 fumble pwarisansabah says looking new leadership dapmalaysia partiamanah voice frustration vote strategy execution malaysia
46,1/12/2020,"As rakyat biasa, undian belanjawan 2021 ni for me to identify MPs  pro-rakyat   If they're pro-rakyat, they'll dig deeper the whole rotten deal &amp; fight for a fair one allowing those yg out of bubble to see how bad belanjawan is.",0.197,0.755,0.048,-0.7964,rakyat biasa undian belanjawan 2021 ni identify mps prorakyat theyre prorakyat theyll dig deeper whole rotten deal fight fair one allowing yg bubble see bad belanjawan
47,1/12/2020,S.O.S. Everyone at Parliament rushed out from the hall! #Belanjawan2021,0,1,0,0,sos everyone parliament rushed hall belanjawan2021
48,30/11/2020,"The 1st Stew blaming the others but you are the head, if they forget, it doesn’t matter because you should be prepared #Belanjawan2021",0.165,0.705,0.13,-0.2382,1st stew blaming others head forget doesnt matter prepared belanjawan2021
49,30/11/2020,"@BeantButtar4 @iamsunnydeol Atleast have this much courtesy Mr Deol to comeout and support them. Even if you cannot support them come and represent/ convince them with any positive pointer, if you have for the bill... as gurdaspurian, i feel pity on people who selected you.. #Belanjawan2021",0.04,0.713,0.247,0.8834,beantbuttar4 iamsunnydeol atleast much courtesy mr deol comeout support even cannot support come represent convince positive pointer bill gurdaspurian feel pity people selected belanjawan2021
50,30/11/2020,"But I'm so curious why pembangkang still have fewer votes? Mana ""MAJORITI"" u? #MuhyiddinOut #Belanjawan2021 #PakatanHarapan #PH #PN #PerikatanNasional",0,0.843,0.157,0.5189,im curious pembangkang still fewer votes mana majoriti u muhyiddinout belanjawan2021 pakatanharapan ph pn perikatannasional
51,30/11/2020,CONNECT WITH RICH MOMMY AND MAKE UP TO RM5K DAILY NOW IN MALAYSIA 100%!!!! Contact susan now via WhatsApp. +601151599108 #malaysiagazette #singapore #ENHYPEN_DEBUT #PesanKeriangan #Whatsapp #RM #MuhyiddinOut #PKPB #COVIDー19 #coronavirus #Belanjawan2021 #money #jobs #KualaLumpur  https://t.co/BZCpue649u,0,0.861,0.139,0.758,connect rich mommy make rm5k daily malaysia 100 contact susan via whatsapp 601151599108 malaysiagazette singapore enhypendebut pesankeriangan whatsapp rm muhyiddinout pkpb covidー19 coronavirus belanjawan2021 money jobs kualalumpur
52,30/11/2020,Everyone know it's a sweetener for favorable support during the next GE. #DSAI #AnwarIbrahim do you really expect an honest answer from the current #Malaysian govt? Stupid or what?  #Malaysia  #Parlimen #DewanRakyat #Belanjawan2021  https://t.co/TR3XmsehPL,0.081,0.688,0.231,0.7449,everyone know sweetener favorable support next ge dsai anwaribrahim really expect honest answer current malaysian govt stupid malaysia parlimen dewanrakyat belanjawan2021
53,30/11/2020,"@theedgemalaysia Belanjawan 2021 extended moratorium, bank will shrink in profit. Thus, selling spree.  Top Losers:   PBB -6.45% CIMB -5.22% MAYBANK -4.7% AMBANK -3.77%",0.121,0.712,0.167,0.0772,theedgemalaysia belanjawan 2021 extended moratorium bank shrink profit thus selling spree top losers pbb 645 cimb 522 maybank 47 ambank 377
54,30/11/2020,@dapmalaysia When you guys were sitting down during the voting down of #Belanjawan2021 wasn't this pretty obvious? #padanmuka @limkitsiang for following @anwaribrahim,0.126,0.874,0,-0.4651,dapmalaysia guys sitting voting belanjawan2021 wasnt pretty obvious padanmuka limkitsiang following anwaribrahim
55,30/11/2020,"@NgaKorMing Stop the BULLSHIT YB! How many votes from opposition @pakatanharapan_ - 95? Masih kurang pun LULUS juga bajet untuk PMO.  You guys screwed up big time during #Belanjawan2021 voting, admit it and resign @anwaribrahim",0.291,0.668,0.041,-0.8962,ngakorming stop bullshit yb many votes opposition pakatanharapan 95 masih kurang pun lulus juga bajet untuk pmo guys screwed big time belanjawan2021 voting admit resign anwaribrahim
56,30/11/2020,Jasa cyber troopers gettin ready. #Belanjawan2021 #Budget2021  https://t.co/9ZT53al9Wo,0,0.737,0.263,0.3612,jasa cyber troopers gettin ready belanjawan2021 budget2021
57,30/11/2020,Newsletter #8/2020: November 2020 - All about Budget 📕 -  https://t.co/GHYyIhSN0M  A summary of our works and thoughts this month about Budget and whether it will create the impact we hoped for.   #Belanjawan2021 #MalaysiaCiptaKerja #InvestInPeople  https://t.co/2vSPGXenYT,0,0.865,0.135,0.5719,newsletter 82020 november 2020 budget 📕 summary works thoughts month budget whether create impact hoped belanjawan2021 malaysiaciptakerja investinpeople
58,30/11/2020,Let’s be honest and admit that the opposition doesn’t have the majority for division vote UNLESS the other side that support them by not joining. The budget won’t get pass easily but it will get approve in the end #Belanjawan2021,0,0.835,0.165,0.6249,lets honest admit opposition doesnt majority division vote unless side support joining budget wont get pass easily get approve end belanjawan2021
59,30/11/2020,This week I think it’s up to our Sabahan friends to call out their MP’s from Warisan that decided not to show for voting but then again what do we know about their grand strategy. #Belanjawan2021,0,0.845,0.155,0.7227,week think sabahan friends call mps warisan decided show voting know grand strategy belanjawan2021
60,30/11/2020,Can I say Arau should just f**king shut-up? He disgust me! #Arau #Belanjawan2021,0.276,0.724,0,-0.636,say arau fking shutup disgust arau belanjawan2021
61,30/11/2020,"Wait, who wasn't present during division vote on opposition side? #Belanjawan2021",0,1,0,0,wait wasnt present division vote opposition side belanjawan2021
62,30/11/2020,"@partimuda No offence, but MUDA once made it clear that MUDA wont support the budget if there were no windfall tax. I Quote from MUDA “No Windfall Tax, no vote for Belanjawan 2021”. There was zero windfall tax but MUDA still supported the bill. You should’ve stand where it mattered.",0.195,0.7,0.106,-0.5166,partimuda offence muda made clear muda wont support budget windfall tax quote muda windfall tax vote belanjawan 2021 zero windfall tax muda still supported bill shouldve stand mattered
63,30/11/2020,@anwaribrahim is grilling the #Belanjawan2021 Budget 2021 now 🤣🤣🤣  https://t.co/3d7rbBkfxA,0,1,0,0,anwaribrahim grilling belanjawan2021 budget 2021 🤣🤣🤣
64,29/11/2020,"@DONJAZZY @BetwayNigeria Ravishankar Shastri is an Indian cricket coach, former commentator, cricketer and current head coach of the Indian national cricket team. As a player, he played for the India national cricket team between 1981 and 1992 in both Tests and ODIs. #Belanjawan2021 @BetwayNigeria  https://t.co/zk07WthTpI",0,0.947,0.053,0.34,donjazzy betwaynigeria ravishankar shastri indian cricket coach former commentator cricketer current head coach indian national cricket team player played india national cricket team 1981 1992 tests odis belanjawan2021 betwaynigeria
65,29/11/2020,"From ""we have the numbers"" to ""the role of the opposition is not to oppose everything""   https://t.co/PRZNQS5UaQ #Belanjawan2021",0,1,0,0,numbers role opposition oppose everything belanjawan2021
66,29/11/2020,"As @anwaribrahim argues merits of #Belanjawan2021 vote, @pakatanharapan_ partners question the judgement of coalition's leadership...&amp; its intentions. Fissures within the opposition, especially b/w @dapmalaysia &amp; @PKR_MALAYSIA, are widening. #Malaysia  https://t.co/xTaQ51zHRB",0.078,0.841,0.081,0.0258,anwaribrahim argues merits belanjawan2021 vote pakatanharapan partners question judgement coalitions leadership intentions fissures within opposition especially bw dapmalaysia pkrmalaysia widening malaysia
67,29/11/2020,"“As long as there’s a few farmers out there, we’ll keep fighting for them.”  #BharatBandh #BanEVM_SaveFarmers #BlackDay #Belanjawan2021 #jaijawan #JaiKisaan #Boycottgovtlaw we always stand with farmers  https://t.co/BNTnpWQ99G",0.091,0.909,0,-0.3612,long theres farmers well keep fighting bharatbandh banevmsavefarmers blackday belanjawan2021 jaijawan jaikisaan boycottgovtlaw always stand farmers
68,29/11/2020,@bernamadotcom @tzafrul_aziz Do u agree that the #Belanjawan2021 discriminates based on race?,0,0.8,0.2,0.3612,bernamadotcom tzafrulaziz u agree belanjawan2021 discriminates based race
69,29/11/2020,@bernamadotcom @tzafrul_aziz Do u agree that Chinese and Indians deserve just a small fraction of #Belanjawan2021 because of their race?,0,0.872,0.128,0.3612,bernamadotcom tzafrulaziz u agree chinese indians deserve small fraction belanjawan2021 race
70,29/11/2020,@tzafrul_aziz Do u agree that Chinese and Indians deserve just a small fraction of #Belanjawan2021 because of their race?,0,0.865,0.135,0.3612,tzafrulaziz u agree chinese indians deserve small fraction belanjawan2021 race
71,29/11/2020,@tzafrul_aziz Do u agree that the #Belanjawan2021 discriminates based on race?,0,0.783,0.217,0.3612,tzafrulaziz u agree belanjawan2021 discriminates based race
72,29/11/2020,@fmtoday @KhalidSamad kamu pengkhianat sebenar rakyat tolak #belanjawan2021 I was your voter in 2018 in Shah Alam. Never again. What a mistake. 90 percent of my large family (&gt;50 of us) have decided to boot you out. Menjerit macam baboon di parlimen. Malu.,0,0.952,0.048,0.2584,fmtoday khalidsamad kamu pengkhianat sebenar rakyat tolak belanjawan2021 voter 2018 shah alam never mistake 90 percent large family gt50 us decided boot menjerit macam baboon di parlimen malu
73,28/11/2020,Anwar’s Gambit. Will it pay off? @kuasasiswa #AnwarIbrahim #Budget2021 #Belanjawan2021  https://t.co/MQlhYqbPfd,0.123,0.877,0,-0.1027,anwars gambit pay kuasasiswa anwaribrahim budget2021 belanjawan2021
74,28/11/2020,Pantun exports are the overlooked key vehicle for growth in Belanjawan 2021,0.08,0.73,0.19,0.3612,pantun exports overlooked key vehicle growth belanjawan 2021
75,28/11/2020,PH..PH..Such a disgrace to Malaysian people..@anwaribrahim #PakatanTakBolehHarap #Belanjawan2021  https://t.co/89rqO9MWtE,0.314,0.686,0,-0.4939,phphsuch disgrace malaysian peopleanwaribrahim pakatantakbolehharap belanjawan2021
76,28/11/2020,Fuck the #Belanjawan2021 . Chinese and Indians not Malaysians is it????,0.331,0.669,0,-0.6662,fuck belanjawan2021 chinese indians malaysians
77,28/11/2020,"THOSE WHO STAND FOR NOTHING, FALLS FOR EVERYTHING 🙌 #selfcare #BLM #love #selflove #lifestyle #Belanjawan2021 #2A #live",0,1,0,0,stand nothing falls everything 🙌 selfcare blm love selflove lifestyle belanjawan2021 2a live
78,28/11/2020,@esshimself @scheekeong don't you think you people deserve it? Afterall you blew it when you had the chance to oust #KerajaanPintuBelakng @MuhyiddinYassin during #Belanjawan2021 voting session!,0,0.916,0.084,0.3164,esshimself scheekeong dont think people deserve afterall blew chance oust kerajaanpintubelakng muhyiddinyassin belanjawan2021 voting session
79,28/11/2020,"@GlobalKid6 @anwaribrahim The SAD part he pulls down @pakatanharapan_ with him! @dapmalaysia is now useless allowing him to work with @NajibRazak!!  Selepas Najib tarik diri, Anwar arah ahli Parlimen PH sokong Belanjawan 2021  https://t.co/mTSAtL5d7h",0.19,0.81,0,-0.8181,globalkid6 anwaribrahim sad part pulls pakatanharapan dapmalaysia useless allowing work najibrazak selepas najib tarik diri anwar arah ahli parlimen ph sokong belanjawan 2021
80,28/11/2020,This should be included in Belanjawan 2021.,0,1,0,0,included belanjawan 2021
81,28/11/2020,"@mediarakyatnet @shamsuliskandar @wongchen What @tzafrul_aziz did during the #Belanjawan2021 was juz the classic ""if you can't convince them, confuse them.""  I watched the debate all the way and i don't think the chap was honest. I hope u guys will scrutinize this kind during the Jawatankuasa stage. No mercy. @WongChenPKR",0.069,0.681,0.251,0.8867,mediarakyatnet shamsuliskandar wongchen tzafrulaziz belanjawan2021 juz classic cant convince confuse watched debate way dont think chap honest hope u guys scrutinize kind jawatankuasa stage mercy wongchenpkr
82,28/11/2020,Everything in 2020.  Including #Belanjawan2021  https://t.co/bbmuvCUwq6,0,1,0,0,everything 2020 including belanjawan2021
83,28/11/2020,Anwar’s Gambit. Will it pay off? @kuasasiswa #AnwarIbrahim #Budget2021 #Belanjawan2021  https://t.co/e5D2kMu4TU,0.123,0.877,0,-0.1027,anwars gambit pay kuasasiswa anwaribrahim budget2021 belanjawan2021
84,28/11/2020,"By claim this say YES during policy stage and will say NO later during committee stage as #PH strategic plan, likely some wiil lose their constituent because of some idiot had lost their brain #Budget2021 #Belanjawan2021 #PRU15 #VoteThemOut",0.236,0.692,0.072,-0.7783,claim say yes policy stage say later committee stage ph strategic plan likely wiil lose constituent idiot lost brain budget2021 belanjawan2021 pru15 votethemout
85,28/11/2020,"@NgaKorMing Ya, but PN still wanna be a Santa Claus Belanjawan 2021 in Parliment. Drill the budget in full effort YB. Rakyat wanna know. TQ",0,1,0,0,ngakorming ya pn still wanna santa claus belanjawan 2021 parliment drill budget full effort yb rakyat wanna know tq
86,28/11/2020,Do not conform!! I will not conform #followscience #ridiculous #BrexitReality #C4News #AllLivesMatter #Belanjawan2021 #BackTheBlue #,0,1,0,0,conform conform followscience ridiculous brexitreality c4news alllivesmatter belanjawan2021 backtheblue
87,28/11/2020,At what point were you unaware he was a deadbeat? #BetterOffWithRachel #Belanjawan2021 #bbcaq #ADOS #Lazy #BitchBoy #BitrueThanksgiving #TheMandalorian  https://t.co/OeMuydR8B0,0.096,0.904,0,-0.2023,point unaware deadbeat betteroffwithrachel belanjawan2021 bbcaq ados lazy bitchboy bitruethanksgiving themandalorian
88,28/11/2020,@MelGohCNA @leehuiseng Its @pakatanharapan_ @anthonyloke @dapmalaysia  BULLSHIT! This was never about #Belanjawan2021 but about 'no confidence vote' on  @MuhyiddinYassin   Its game over until next #Belanjawan2022 or GE-15!,0.178,0.694,0.129,-0.178,melgohcna leehuiseng pakatanharapan anthonyloke dapmalaysia bullshit never belanjawan2021 confidence vote muhyiddinyassin game next belanjawan2022 ge15
89,28/11/2020,@MelGohCNA @leehuiseng Its @pakatanharapan_ BULLSHIT! This was never about #Belanjawan2021 but about 'no confidence vote' on @MuhyiddinYassin  Its game over until next #Belanjawan2022 or GE-15!,0.189,0.675,0.137,-0.178,melgohcna leehuiseng pakatanharapan bullshit never belanjawan2021 confidence vote muhyiddinyassin game next belanjawan2022 ge15
90,28/11/2020,@Seaweed84 @GlobalKid6 @limweijiet @SyedSaddiq Its already game over! Moo will be PM until next #Belanjawan2022  It was not about passing the #Belanjawan2021 but rather ousting @MuhyiddinYassin gomen!,0,1,0,0,seaweed84 globalkid6 limweijiet syedsaddiq already game moo pm next belanjawan2022 passing belanjawan2021 rather ousting muhyiddinyassin gomen
